Sex,GPA,IQ
2,2.95167286245353,111
2,3.08252788104089,107
2,1.72602230483271,100
2,2.77695167286245,107
1,3.30185873605948,114
2,2.81970260223048,115
2,2.84386617100372,111
2,0.896654275092937,97
1,2.23048327137546,100
2,3.28364312267658,112
1,2.77695167286245,104
1,2.05501858736059,89
2,2.66431226765799,104
1,2.81449814126394,102
1,1.74721189591078,91
1,3.0360594795539,114
1,2.90780669144981,114
1,2.82453531598513,103
2,1.48698884758364,106
1,2.31635687732342,105
2,2.84126394052045,113
2,0.654275092936803,109
1,2.38624535315985,108
2,3.58661710037175,113
1,3.97769516728625,130
2,3.93308550185874,128
2,3.50520446096654,128
2,2.97397769516729,118
2,3.56319702602231,113
1,3.55799256505576,120
1,3.34498141263941,132
1,3.09776951672863,111
2,3.03903345724907,124
2,2.97397769516729,127
1,3.46951672862454,128
2,3.53159851301115,136
2,3.40780669144981,106
1,3.76951672862454,118
1,3.71710037174721,119
2,4,123
2,3.62936802973978,124
2,3.49814126394052,126
2,3.40780669144981,116
2,3.47509293680297,127
2,3.0360594795539,119
2,1.35576208178439,97
1,1.26691449814126,86
2,1.4631970260223,102
2,2.66431226765799,110
2,2.84275092936803,120
2,0.197026022304833,103
2,2.29479553903346,115
2,2.71189591078067,93
1,2.71189591078067,72
1,3.32267657992565,111
1,2.93011152416357,103
2,3.10520446096654,123
2,1.8817843866171,79
2,3.03903345724907,119
2,3.06133828996283,110
2,2.82081784386617,110
2,2.84275092936803,107
1,1.94684014869889,74
2,2.9089219330855,105
1,2.72602230483271,112
2,3.40780669144981,105
2,2.9724907063197,110
1,3.23940520446097,107
1,2.91189591078067,103
2,1.81598513011152,77
1,2.97323420074349,98
2,1.42007434944238,90
1,2.20669144981413,96
1,3.3457249070632,112
1,3.53159851301115,112
2,2.25167286245353,114
1,2.25167286245353,93
2,2.57918215613383,106
