year,month,precip
2014,2,0
2014,3,0.19
2014,4,4.93
2014,5,1.61
2014,6,9.26
2014,7,2.85
2014,8,3.26
2014,9,3.37
2014,10,3.16
2014,11,0.59
2014,12,0.39
2015,1,0.26
2015,2,0.09
2015,3,0.1
2015,4,2.92
2015,5,3.19
2015,6,7.8
2015,7,4.62
2015,8,4.93
2015,9,2.5
2015,10,1.92
2015,11,1.97
2015,12,3.21
2016,1,0.1
2016,2,0.11
2016,3,1.47
2016,4,2.19
2016,5,1.98
2016,6,2.63
2016,7,3.71
2016,8,4.84
2016,9,4.58
2016,10,1.29
2016,11,0.78
2016,12,0.78
2017,1,0.79
2017,2,0.28
2017,3,1.55
2017,4,2.64
2017,5,2.21
2017,6,2.58
2017,7,2.18
2017,8,3.5
2017,9,1.52
2017,10,3.3
2017,11,0.21
2017,12,0.11
2018,1,0.85
2018,2,0.45
2018,3,1.28
2018,4,0.25
2018,5,4.74
2018,6,5.32
2018,7,2.76
2018,8,3.92
2018,9,9.13
2018,10,5.17
2018,11,1.11
2018,12,1.22
2019,1,0.25
2019,2,0.76
2019,3,0.89
2019,4,2.07
2019,5,7.55
2019,6,2.94
2019,7,1.73
2019,8,2.28
2019,9,3.33
2019,10,6.32
2019,11,0.71
2019,12,0.48
2020,1,0.28
2020,2,0.03
2020,3,1.95
2020,4,0.05
2020,5,0.2
2020,6,8.05
2020,7,0.84
2020,8,0.38
2020,9,4.84
2020,10,2.1
2020,11,1.32
2020,12,0.4
2021,1,0.07
2021,2,0.14
2021,3,1.68
2021,4,0.4
2021,5,3.19
2021,6,4.17
2021,7,2.23
2021,8,2.97
2021,9,0.47
2021,10,2.84
2021,11,1.17
2021,12,0.4
2022,1,0.07
2022,2,0.03
2022,3,1.24
2022,4,1.25
2022,5,2.77
2022,6,1.92
2022,7,1.86
2022,8,2.31
2022,9,2.55
2022,10,0.12
2022,11,2.1
2022,12,0.55
2023,1,0.84
2023,2,0.82
2023,3,0.72
2023,4,1.39
2023,5,2.09
2023,6,1.58
2023,7,2.93
2023,8,3.29
2023,9,1.86
2023,10,2.36
2023,11,0.06
2023,12,0.99
2024,1,0.49
2024,2,0.13
