Major,Category,Workforce,Per_Male,Per_Female,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Per_White,Per_Black,Per_Asian,Per_Hispanic,Per_Other_Race,Per_Bachelors,Per_Masters,Per_Professional_Degree,Per_PhD,Per_Employed,Per_Unemployed,Per_Non_Labor,Bach_Med_Income,Grad_Med_Income
Computer Science ,Science,1665000,75.1,24.9,30.9,29.5,21.4,18.1,49.6,7.8,29.3,8.6,4.7,67.4,28.1,1.6,2.8,88.2,2,9.8,101600,128800
Engineering ,Science,695400,81.3,18.7,24.1,26.1,25.3,24.4,53.9,7.1,20.2,14.2,4.6,61,31.3,4,3.8,87.8,1.9,10.3,90490,116100
Civil Engineering ,Science,556200,77.7,22.3,29.7,25.8,22.3,22.1,62.1,5,16.4,12.3,4.2,63.9,29.7,2.6,3.8,89.8,1.4,8.8,94370,107500
Electrical Engineering ,Science,1197000,84.5,15.5,22.5,26.3,23.7,27.5,47.1,5.8,33.6,9.4,4,53.2,37.2,2.9,6.7,88.5,1.7,9.8,106600,139400
Mechanical Engineering ,Science,1033000,88.1,11.9,33.4,23.7,20.6,22.2,64.8,3.9,18.2,8.8,4.3,61.2,31.8,2.4,4.6,90.6,1.4,8,99180,124900
Mathmatics,Science,699900,57,43,27.2,24.5,22.8,25.4,65.4,6.8,15.3,7.7,4.7,48.5,38.6,4.8,8.1,85.4,1.7,12.9,76350,96530
Biology ,Science,2201000,44.2,55.8,35.6,26.6,22,15.8,63,8.4,14,9.6,5,40.8,23.7,22.6,12.9,87.2,1.4,11.3,60390,102800
Chemistry ,Science,613000,56.9,43.1,27.1,24.9,23.3,24.7,59.6,7.8,20,8.2,4.4,37.1,25.2,15.4,22.3,86.8,1.6,11.5,71060,109100
Psychology ,Science,3075000,26.3,73.7,32.6,28.9,23.3,15.1,65.1,10.6,6.3,12.5,5.4,52.4,34.5,6.3,6.8,84.8,2.1,13.1,52460,72490
Economics ,Science,1267000,64.9,35.1,28,26.1,22.1,23.9,62.2,6.6,17.4,9.4,4.5,58.6,29.1,8.5,3.8,85.5,2.4,12.1,89570,122100
Political Science ,Science,1440000,56.8,43.2,26.6,28.1,25.1,20.2,69.1,8.8,6.9,10.5,4.8,47.5,26.4,21.7,4.4,87.1,2,10.9,72420,102700
Sociology ,Science,878800,31.4,68.6,26.9,29.5,25.8,17.9,59.1,14.9,7.4,13,5.6,62.9,28.1,5.5,3.5,83.6,2.3,14.1,56700,75620
Nursing ,Science,2842000,12.1,87.9,28.4,27.1,23.4,21.1,63.2,10.3,12.4,9.7,4.3,71.2,20.9,4.5,3.5,87.5,1.2,11.3,73560,99060
Other Science,Science,11870000,51,49,32.3,27.4,22,18.3,62.2,8,14.3,10.6,5,56.3,29.1,7.2,7.3,86.9,1.7,11.4,68510,91410
