Education,Religious
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
Less than HS,Fundamentalist
